日期ASIN组合,退货时间,sku,品名,ASIN,求和项:退货数量,求和项:销量
45000 | B0B213STBL,2023/3/15,FT22042302,21-23福特bronco越野版tpe吸塑椅背垫（2门）--米粒纹2片装KJ,B0B213STBL,1,5
45000 | B0B211Z51S,2023/3/15,FT22050212,21-23福特bronco越野版仪表台储物垫（2/4门）--tpe三件套KJ,B0B211Z51S,1,4
45000 | B0B4JPZZZV,2023/3/15,FT22050802,21-23福特bronco越野版座垫（4门）--半包黑色纳帕皮（KJ包销）,B0B4JPZZZV,1,1
45000 | B0B42L93SW,2023/3/15,FT22052803,21-23福特bronco越野版前桥皮塞（2/4门）--4件套（2大+2小）（适用于未选配Sasquatch包车型）KJ,B0B42L93SW,2,1
45000 | B0B76JY52R,2023/3/15,FT22061104,21-23福特bronco越野版车门拓展储物盒（4门）--abs网格款4片装KJ,B0B76JY52R,1,
45000 | B0B76QR8T3,2023/3/15,FT22061105,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs网格款前门2片装KJ,B0B76QR8T3,1,
45000 | B0B6R486S1,2023/3/15,FT22062804,21-23福特bronco越野版中网小黄灯（2/4门）--高配款3个装（黄色款）KJ,B0B6R486S1,1,3
45000 | B0B8HF6RD8,2023/3/15,FT22072601,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（分体）2个装KJ,B0B8HF6RD8,1,
45000 | B0BRHW3R8P,2023/3/15,FT22120603,21-23福特bronco越野版车门拉手储物盒（4门）--tpe加深款四门4只装KJ,B0BRHW3R8P,2,
45000 | B0BCV4JQMM,2023/3/15,FT23012909,21-23福特bronco越野版晴雨挡（4门）--升级款4件装（KJ）,B0BCV4JQMM,1,
45001 | B09S3SKYQP,2023/3/16,FT22011502,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs+tpe款前门一对装KJ,B09S3SKYQP,3,3
45001 | B09V77B6VV,2023/3/16,FT22022401,21-23福特bronco越野版tpe吸塑后备箱下层垫（2/4门）--米粒纹KJ,B09V77B6VV,1,1
45001 | B09VL31QV5,2023/3/16,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,1,25
45001 | B09X45K866,2023/3/16,FT22040302,21-23福特bronco越野版扶手箱储物盒上层（升级款）+下层（2/4门）--abs硅胶垫款（2件装）KJ,B09X45K866,1,6
45001 | B09YQ2WX1M,2023/3/16,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,1,4
45001 | B0B211Z51S,2023/3/16,FT22050212,21-23福特bronco越野版仪表台储物垫（2/4门）--tpe三件套KJ,B0B211Z51S,1,5
45001 | B0B4JPZZZV,2023/3/16,FT22050802,21-23福特bronco越野版座垫（4门）--半包黑色纳帕皮（KJ包销）,B0B4JPZZZV,1,
45001 | B0B4JJWDY8,2023/3/16,FT22061901,21-23福特bronco越野版仪表台多功能支架（2/4门）--铝合金长款KJ,B0B4JJWDY8,1,
45001 | B0BPSRLXPC,2023/3/16,FT22110901,21-23福特bronco越野版后备箱两侧垫（4门）--皮革1对装（KJ包销）,B0BPSRLXPC,1,9
45001 | B0BPHG7XDM,2023/3/16,FT22112805,21-23福特bronco越野版后排阅读灯（4门）--KJ包销,B0BPHG7XDM,1,15
45001 | B0BRJ26555,2023/3/16,FT22121205,21-23福特bronco越野版后排过桥水杯座（4门）--a款KJ,B0BRJ26555,1,
45001 | B0BD54S1Q2,2023/3/16,FT23012909,21-23福特bronco越野版晴雨挡（4门）--升级款4件装（KJ）,B0BD54S1Q2,1,3
45002 | B09QM9JJN8,2023/3/17,FT22011001,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹）KJ,B09QM9JJN8,1,8
